id	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
13141							2			2					
13143			2					2							
13145							2							2	
13147			2				2					2			
13149							2					2		2	
13151			2					2							
13153							2					2			
13155							2					2			
13157			2												
13159			2				2							2	
13161							2					2			
13163											2				
13165											2				
13167							2				2				
13169			2				2								
13171			2				2							2	
13173							2					2			
13175							2				2				
13177												2			
13179		2						2							
13183							2								
13185							2					2			
13187			2				2							2	
13189										2					
13191		2					2				2	2			
13193							2								
13195							2								
13199														2	
13201							2					2			
13205			2							2		2			
13207			2				2					2		2	
13209							2					2			
13211														2	
13215								2		2					
13217			2					2				2		2	
13219			2												
13221			2												
13223			2									2			
13225							2					2			
13227			2				2							2	
13229							2					2			
13231			2				2								
13233														2	
13235							2					2			
13237							2	2							
13241			2				2							2	
13245								2							
13247			2					2				2			
13249							2								
13253												2			
13255			2				2	2						2	
13257			2				2	2				2			
13259										2					
13261							2			2					
13263							2								
13265			2												
13267							2					2			
13269							2			2		2			
13271							2					2			
13275							2					2			
13277			2				2					2			
13279							2					2			
13281							2								
13283							2				2				
13285								2						2	
13287							2					2			
13289							2				2				
13291			2				2								
13293			2				2					2			
13295			2									2		2	
13297			2					2							
13299							2					2			
13301										2					
13303							2								
13305							2					2			
13307										2					
13309							2					2			
13311			2				2							2	
13313								2							
13315							2					2			
13317			2				2								
13319							2			2	2				
13321							2					2			
15000			2					2	1		2	3		2	2
15001			2						1		2			2	
15003								2	2			3		2	
15007									2		2	3			2
15009									1		2			2	2
16000								3	2		3		2	3	
16003													2		
16017														3	
16035														3	
16045													2		
16049													2	3	
16055											3				
16061													2		
16069								3						3	
16073									2						
16075													2		
16079											3			3	
16085													2		
16087													2		
17000		4		4	1		2	4	2	4	2	2	2	4	
17001		4		3	1				4		2		2	4	
17003					1							2		2	
17005										4					
17007				4					4		4			4	
17009		4			1				4					4	
17011		4		4					4		2			4	
17013		4		3	1					4	2			4	
17015				3							4		2	4	
17017		4			1						2			4	
17019		4						2							
17021		4								4				4	
17023					1						2			4	
17025														4	
17027								2							
17029											2			4	
17031		4		4				2		2	2			4	
17033											2			4	
17035					1						2				
17037									4	2				4	
17039		4		4						4					
17041		4			1						2				
17043		4		4				2			2			4	
17045					1						2			4	
17047								4							
17049					1									4	
17051					1										
17053		4		4										4	
17055								4				2		2	
17057		4		4	1				4					4	
17059					1			4				2		2	
17061		4			1				2		2				
17063		4		4							2			4	
17065					1			4				2		2	
17067		4		3	1				4		2			4	
17069								4				2		2	
17071		4		4							2			4	
17073		4		4					4					4	
17075		4		4											
17077					1			4				2		2	
17079					1						2			4	
17083					1					4	2				
17085		2		3							4		2	4	
17087					1			4				2			
17089		4		4				2		2				4	
17091		4		4											
17093		4		4					4		2				
17095		4							4	2				4	
17097		4		4				2			4			4	
17099		4		4			2		4	2	2			4	
17101					1			4			2			2	
17103									4					4	
17105		4		4										4	
17107		4							2	4				4	
17109		4		4					4					4	
17111		4		4					4		4			4	
17113		4		4						4				4	
17115		4						2		4					
17117					1					4	2				
17119								2		4	2				
17121														2	
17123		4		4					4					4	
17125		4			1				4					4	
17127								4				2		2	
17129		4		4	1				4					4	
17131		4		3							2			4	
17133								2		4	2				
17135										4	2				
17137		4			1				2					4	
17139		4			1								2		
17141				4					4		4		2	4	
17143		4		4				2	4					4	
17145														2	
17147		4								4					
17149		4		3	1				4		2		2	4	
17151					1			4				2		2	
17153					1							2		2	
17155		4					2		4					4	
17157					1				2		2	2		2	
17159					1			4							
17161				3							2			4	
17163								2		4	2				
17165					1			4				2		2	
17167		4			1			2	2	4				4	
17169		4			1								2	4	
17171		4			1				4		2			4	
17173		4			1					4				4	
17175		4		4					4					4	
17177									4		4		2	4	
17179		4							4					4	
17181					1			4				2		2	
17183		4													
17185					1			4						2	
17187		4								2				4	
17189														4	
17191					1									2	
17193								4						2	
17195				3										4	
17197		4		4							2			4	
17199								4				2		2	
17201				4				2	4		4			4	
17203		4								4	2			4	
18000		4		4	2	2	2	2		4	2	2		2	2
18001		4		4		2		2		4	2				
18003		4		4		2		2		4	2				
18005								2			2				
18007		4		4			2			4	2			2	
18009		4						2		4					
18011		4						2		4					
18013					2			4			2				
18015		4		4		2				4	2				
18017		4		4		2				4	2				
18019							2	4			2	2		2	2
18021		4				2	2				2			2	
18023		4						2		4					
18025					2		2	4			2	2		2	
18027							2	2			2			2	
18029					2			4			2			2	
18031								4			2				
18033		4		4						4	2				
18035		4						2		4					
18037					2		2	4			2	2		2	
18039		4		4						4	2				
18041		4						2			2				
18043							2	4			2	2		2	
18045		4				2	2			4	2				
18047					2			4			2			2	
18049		4		4						4	2				
18051					2		2	2			2	2		2	
18053		4		4				2		4					
18055					2	2	2	2			2				
18057		4						4		4					
18059		4						4		4	2				
18061							2	4			2	2		2	
18063		4								4	2				
18065		4						2		4	2				
18067		4		4		2		2		4					
18069		4		4		2		2		4					
18071					2			4			2	2		2	
18073		4		4		2				4	2				
18075		4				2		2		4	2				
18077					2			4			2	2		2	2
18079								4			2	2		2	
18081		4			2			4			2				
18083					2			2			2			2	
18085		4		4		2				4	2				
18087		4		4						4					
18089		4		4						4	2				
18091		4		4						4	2				
18093								4			2	2		2	
18095		4			2	2		2		4	2				
18097		4			2			4		4	2				
18099		4		4						4	2				
18101					2		2	2			2			2	
18103		4		4		2	2			4					
18105					2			4			2			2	
18107		4			2			2		4	2				
18109		4			2			4			2				
18111		4		4		2				4	2				
18113		4		4						4	2				
18115					2			4			2	2		2	
18117					2		2	4			2	2		2	
18119					2	2	2	2			2				
18121		4			2	2	2			4	2			2	
18123					2		2	4			2	2		2	
18125					2		2	4			2			2	
18127		4		4						4	2				
18129					2			4			2	2		2	
18131		4		4						4	2				
18133		4			2		2	2		4	2			2	
18135		4						2		4	2				
18137								4			2	2		2	2
18139		4						4			2				
18141		4		4						4					
18143							2	4			2	2		2	2
18145		4						4			2				
18147							2	4			2	2		2	
18149		4		4				2		4	2			2	
18151		4		4						4					
18153					2		2	4			2			2	
18155					2			4			2	2		2	
18157		4				2	2	2		4					
18159		4				2		2		4					
18161					2	2	2	4			2				
18163								1			2	2		2	
18165		4			2		2	2		4	2			2	
18167		4			2			2			2				
18169		4		4		2				4	2				
18171		4				2	2			4					
18173							2	1			2	2		2	
18175					2		2	4			2	2		2	2
18177		4						4			2			2	
18179		4		4		2		2		4					
18181		4		4		2				4	2				
18183		4		4						4					
19000		2		2	3		2	2		2	2	2	2	3	
19001							2			4	2		2		
19003											2		2		
19005				2			2			2	2				
19007							2			2	4		2		
19009							2			2			2		
19011							2			2	2			2	
19013		2					2			2	2	2	2		
19015							2			2	2		2		
19017		2					2			2	2				
19019		2					2			2	2		2		
19021										4			2	2	
19023		2					2			2	2		2		
19025				2			2			2			2		
19027										4	2		2		
19029							2			4	2		2		
19031										2	4				
19033		2					2				2				
19035										4	2		2		
19037		2					2			2	2				
19039										2	4		2		
19041							2			4			2	2	
19043		2		2	3		2				2		2		
19045		2		2	3					2	2				
19047		2								4	2		2		
19049							2				2		2		
19051										2	2		2		
19053										2	4		2		
19055		2			3		2				2		2		
19057				2						2	2		2		
19059										4			2	2	
19061		2		2	3		2				2		2	2	
19063										4			2		
19065		2					2			2	2		2		
19067		2					2			2	2				
19069							2			2	2		2		
19071							2			2	2		2	3	
19073										4	2		2		
19075				2			2			2	2				
19077							2			4	2		2		
19079										2	2		2		
19081							2			4	2				
19083										2	2				
19085		2								2	2		2	3	
19087				2						2	2		2		
19089		2					2			2	2		2		
19091				2			2			2	2		2		
19093							2			2			2		
19095										2	2		2		
19097				2	3					2	2		2	2	
19099							2			2	2		2		
19101										2	4				
19103										2	2				
19105		2			3		2			2	4		2		
19107										2	4		2		
19109							2			4	2				
19111				2						2	2		2		
19113		2			3		2	2		2	2				
19115				2						2	2				
19117				2			2				4		2		
19119											2		2		
19121											4		2		
19123										2	2		2		
19125										2	2		2		
19127							2			2	2			2	
19129		2								2	2		2	3	
19131		2					2			2	2				
19133										2	2		2	3	
19135											4		2		
19137		2								2	2		2		
19139				2						2	2				
19141										4			2		
19143										4			2		
19145							2			2	4		2		
19147				2						4	2		2		
19149										4			2		
19151							2			2	2		2	2	
19153							2	2		2	2		2		
19155		2		2						2	2		2	3	
19157										2	2				
19159				2						2	4		2		
19161				2			2			2			2	2	
19163				2							2				
19165							2			4			2		
19167													2		
19169		2					2			2	2		2	2	
19171							2			2	2			2	
19173							2			2	4				
19175				2						2	2		2		
19177										2	2		2		
19179				2						2	2		2		
19181											4		2		
19183										2	4		2		
19185										2	4		2		
19187				2			2			4	2		2		
19189							2			2	2				
19191							2			2	2				
19193		2								4			2	3	
19195		2					2			2	2				
19197							2			4	2		2		
20000		1	2	2	4	2	2	2	2	2	2	2	2	3	2
20001					4	2				2			2		
20003					4	2		2		2	2	2	2		
20005								2			2		2	3	
20007					4			2			2	2			
20009				2			2			2	2	2			
20011					4					2	2	2	2		
20013								2		2	2		2		
20015					4		2	2		2	2	2	2		
20017								2		2	2	2	2		
20019					4					2	2				
20021						2	2	2		2	2	2	2		
20023									2	2					
20025										2	2	2			
20027										2	2		2	2	
20029											2		2	2	
20031					4					2		2	2		
20033										2	2	2	2		
20035					4			2		2	2	2	2		2
20037			2		4	2		2		2	2	2	2		
20039									2	2	2				
20041										2	2				
20043										2	2		2	3	
20045					4		2	2	2	2			2		
20047										2	2	2			2
20049					4					2	2	2	2		
20051							2			2	2		2		
20053										2	2				
20055								2		2					
20057										2					
20059					4			2		2	2	2	2		
20061							2				2		2		
20063										2	2				
20065							2			2	2		2		
20067										2		2			
20069										2					
20071										2					
20073					4			2		2	2	2	2		
20075										2					
20077								2		2	2	2			2
20079								2		2	2	2	2		
20081										2		2			
20083									2	2	2				2
20085								2		2	2		2		
20087								2			2		2		
20089							2			2	2		2	2	2
20091					4			2						3	
20093										2					
20095								2		2	2	2			
20097										2	2	2	2		
20099			2		4	2	2			2	2	2	2		
20101									2	2					
20103						2		2		2	2		2	3	
20105										2	2			2	
20107					4					2	2	2	2		
20109										2					
20111							2	2		2	2	2	2	2	
20113								2		2	2		2		
20115							2	2			2	2	2		
20117										2	2	2	2		
20119						2				2		2			
20121					4					2	2		2		
20123							2				2		2	2	2
20125					4					2	2	2	2		
20127							2	2		2	2	2	2		
20129										2					
20131										2	2		2		
20133			2		4			2		2		2	2		
20135										2	2				
20137									2	2	2		2		
20139								2		2			2	2	
20141							2			2	2		2	2	
20143										2	2			2	
20145									2	2	2		2		
20147							2		2	2	2		2		
20149								2		2	2		2	2	
20151								2		2	2	2			
20153										2					
20155								2		2	2	2			
20157											2	2	2	2	
20159										2	2	2			2
20161										2	2		2	2	
